Rank,Country,Population,Date,% of world population
181,Belize,312971,12-May-10,0.004386 
182,Barbados,274200,1-Jul-10,0.003843 
183,French Polynesia (France),268270,22-Aug-12,0.003760 
184,Vanuatu,264652,1-Jul-13,0.003709 
185,New Caledonia (France),258958,1-Jul-13,0.003629 
186,French Guiana (France),229040,1-Jan-10,0.003210 
187,Mayotte (France),212600,21-Aug-12,0.002980 
188,Samoa,187820,7-Nov-11,0.002632 
189,Sao Tom and Principe,187356,13-May-12,0.002626 
190,Saint Lucia,166526,10-May-10,0.002334 
191,Guam (USA),159358,1-Apr-10,0.002233 
192,Curacao (Netherlands),150563,26-Mar-11,0.002110 
193,Saint Vincent and the Grenadines,109000,1-Jul-13,0.001528 
194,Kiribati,106461,1-Jul-13,0.001492 
195,United States Virgin Islands (USA),106405,1-Apr-10,0.001491 
196,Grenada,103328,12-May-11,0.001448 
197,Tonga,103036,30-Nov-11,0.001444 
198,Aruba (Netherlands),101484,29-Sep-10,0.001422 
199,Federated States of Micronesia,101351,1-Jul-13,0.001420 
200,Jersey (UK),97857,27-Mar-11,0.001372 
201,Seychelles,90945,26-Aug-10,0.001275 
202,Antigua and Barbuda,86295,27-May-11,0.001209 
203,Isle of Man (UK),84497,27-Mar-11,0.001184 
204,Andorra,76246,1-Jul-12,0.001069 
205,Dominica,71293,14-May-11,0.000999 
206,Bermuda (UK),64237,20-May-10,0.000900 
207,Guernsey (UK),63085,31-Mar-12,0.000884 
208,Greenland (Denmark),56370,1-Jan-13,0.000790 
209,Marshall Islands,56086,1-Jul-13,0.000786 
210,American Samoa (USA),55519,1-Apr-10,0.000778 
211,Cayman Islands (UK),55456,10-Oct-10,0.000777 
212,Saint Kitts and Nevis,54000,1-Jul-13,0.000757 
213,Northern Mariana Islands (USA),53883,1-Apr-10,0.000755 
214,Faroe Islands (Denmark),48159,1-Oct-13,0.000675 
215,Sint Maarten (Netherlands),37429,1-Jan-10,0.000525 
216,Saint Martin (France),36979,1-Jan-10,0.000518 
217,Liechtenstein,36942,30-Jun-13,0.000518 
218,Monaco,36136,31-Dec-12,0.000506 
219,San Marino,32499,30-Nov-13,0.000455 
220,Turks and Caicos Islands (UK),31458,25-Jan-12,0.000441 
221,Gibraltar (UK),30001,31-Dec-12,0.000420 
222,British Virgin Islands (UK),29537,1-Jul-10,0.000414 
223,Aland Islands (Finland),28502,31-Dec-12,0.000399 
224,Caribbean Netherlands (Netherlands),23296,1-Jan-13,0.000327 
225,Palau,20901,1-Jul-13,0.000293 
226,Cook Islands (NZ),14974,1-Dec-11,0.000210 
227,Anguilla (UK),13452,11-May-11,0.000189 
228,Wallis and Futuna (France),13135,1-Jul-13,0.000184 
229,Tuvalu,11323,1-Jul-13,0.000159 
230,Nauru,9945,30-Oct-11,0.000139 
231,Saint Barthelemy (France),8938,1-Jan-10,0.000125 
232,Saint Pierre and Miquelon (France),6081,1-Jan-10,0.000085 
233,Montserrat (UK),4922,12-May-11,0.000069 
234,Saint Helena Ascension and Tristan da Cunha (UK),4000,1-Jul-13,0.000056 
235,Svalbard and Jan Mayen (Norway),2655,1-Sep-12,0.000037 
236,Falkland Islands (UK),2563,15-Apr-12,0.000036 
237,Norfolk Island (Australia),2302,9-Aug-11,0.000032 
238,Christmas Island (Australia),2072,9-Aug-11,0.000029 
239,Niue (NZ),1613,10-Sep-11,0.000023 
240,Tokelau (NZ),1411,18-Oct-11,0.000020 
241,Vatican City,800,1-Jul-12,0.000011 
242,Cocos (Keeling) Islands (Australia),550,9-Aug-11,0.000008 
243,Pitcairn Islands (UK),56,1-Feb-13,0.000001 
